Account: 111222333
Date Range: 01/01/2025 - 12/31/2025

Account Trade History
Date,Description,Qty,Amount,Commission,Misc,Balance
02/12/2025,SELL -6 IRON CONDOR AAPL 100 02/25/2025 100/105/90/85 CALL/PUT @3.99,-6,2394.00,-15.60,-0.10,102712.24
02/13/2025,BOT +6 VERTICAL MSFT 100 03/25/2025 150/145 PUT @3.32,6,-1992.00,-7.80,-0.10,100712.34
02/14/2025,BOT +17 IRON CONDOR GOOGL 100 02/28/2025 100/105/90/85 CALL/PUT @2.46,17,-4708.92,-44.20,-0.10,95959.12
02/16/2025,BOT +2 VERTICAL SPY 100 03/26/2025 150/145 PUT @0.98,2,-121.72,-2.60,-0.10,95834.70
02/16/2025,SELL -9 VERTICAL META 100 04/01/2025 150/145 PUT @1.18,-9,1062.00,-11.70,-0.10,96884.90
02/16/2025,SELL -10 VERTICAL SPY 100 02/28/2025 200/210 CALL @2.21,-10,1301.82,-13.00,-0.10,98173.62
02/17/2025,SELL -7 SHORT PUT META 100 03/03/2025 120 PUT @3.68,-7,4942.83,-4.55,-0.10,103111.80
02/19/2025,SELL -17 COVERED CALL META 100 03/17/2025 500 CALL @1.78,-17,3026.00,-11.05,-0.10,106126.65
02/19/2025,BOT +4 VERTICAL QQQ 100 03/13/2025 200/210 CALL @1.90,4,-1078.14,-5.20,-0.10,105043.21
02/21/2025,BOT +8 IRON CONDOR META 100 03/04/2025 100/105/90/85 CALL/PUT @2.79,8,-5305.14,-20.80,-0.10,99717.17
02/23/2025,SELL -1 VERTICAL SPY 100 03/06/2025 150/145 PUT @1.59,-1,159.00,-1.30,-0.10,99874.77
02/25/2025,BOT +16 VERTICAL AAPL 100 03/29/2025 150/145 PUT @1.48,16,-2368.00,-20.80,-0.10,97485.87
02/26/2025,BOT +3 COVERED CALL TSLA 100 04/05/2025 500 CALL @0.86,3,-396.56,-1.95,-0.10,97087.26
02/28/2025,BOT +6 VERTICAL MSFT 100 03/26/2025 150/145 PUT @0.87,6,-261.81,-7.80,-0.10,96817.55
03/02/2025,SELL -5 SHORT PUT AMZN 100 03/14/2025 120 PUT @3.06,-5,1530.00,-3.25,-0.10,98344.20
03/02/2025,SELL -2 VERTICAL AAPL 100 03/21/2025 200/210 CALL @3.96,-2,508.07,-2.60,-0.10,98849.57
03/04/2025,BOT +6 VERTICAL AAPL 100 04/04/2025 200/210 CALL @0.57,6,-649.51,-7.80,-0.10,98192.16
03/06/2025,BOT +10 IRON CONDOR QQQ 100 03/17/2025 100/105/90/85 CALL/PUT @0.63,10,-322.78,-26.00,-0.10,97843.28
03/08/2025,BOT +12 VERTICAL TSLA 100 04/04/2025 200/210 CALL @0.59,12,-146.49,-15.60,-0.10,97681.09
03/09/2025,BOT +17 VERTICAL MSFT 100 04/16/2025 150/145 PUT @2.36,17,-4012.00,-22.10,-0.10,93646.89
03/10/2025,BOT +19 SHORT PUT GOOGL 100 04/08/2025 120 PUT @2.97,19,-5643.00,-12.35,-0.10,87991.44
03/12/2025,BOT +19 VERTICAL SPY 100 03/28/2025 200/210 CALL @4.38,19,-8194.87,-24.70,-0.10,79771.77
03/14/2025,BOT +19 IRON CONDOR QQQ 100 04/21/2025 100/105/90/85 CALL/PUT @4.22,19,-1627.95,-49.40,-0.10,78094.32
03/15/2025,BOT +11 VERTICAL META 100 04/26/2025 200/210 CALL @3.71,11,-1924.19,-14.30,-0.10,76155.73
03/15/2025,SELL -15 SHORT PUT TSLA 100 03/25/2025 120 PUT @1.33,-15,1995.00,-9.75,-0.10,78140.88
03/17/2025,SELL -6 COVERED CALL AMZN 100 04/11/2025 500 CALL @4.56,-6,989.19,-3.90,-0.10,79126.07
03/17/2025,SELL -6 COVERED CALL QQQ 100 04/18/2025 500 CALL @2.50,-6,1500.00,-3.90,-0.10,80622.07
03/18/2025,BOT +12 VERTICAL NVDA 100 04/28/2025 150/145 PUT @2.92,12,-3504.00,-15.60,-0.10,77102.37
03/19/2025,BOT +5 VERTICAL SPY 100 03/30/2025 200/210 CALL @4.08,5,-4362.75,-6.50,-0.10,72733.02
03/21/2025,BOT +6 SHORT PUT SPY 100 04/17/2025 120 PUT @3.28,6,-1968.00,-3.90,-0.10,70761.02
03/23/2025,SELL -12 VERTICAL SPY 100 04/29/2025 150/145 PUT @0.66,-12,356.70,-15.60,-0.10,71102.02
03/25/2025,BOT +18 COVERED CALL TSLA 100 04/18/2025 500 CALL @4.89,18,-8802.00,-11.70,-0.10,62288.22
03/27/2025,BOT +13 VERTICAL MSFT 100 04/23/2025 200/210 CALL @2.27,13,-2951.00,-16.90,-0.10,59320.22
03/28/2025,BOT +6 IRON CONDOR META 100 04/16/2025 100/105/90/85 CALL/PUT @3.80,6,-4882.25,-15.60,-0.10,54422.27
03/28/2025,BOT +2 VERTICAL TSLA 100 05/12/2025 200/210 CALL @2.93,2,-430.24,-2.60,-0.10,53989.33
03/28/2025,BOT +6 VERTICAL NVDA 100 04/05/2025 200/210 CALL @3.50,6,-3668.93,-7.80,-0.10,50312.50
03/29/2025,SELL -4 VERTICAL MSFT 100 04/20/2025 200/210 CALL @3.01,-4,428.74,-5.20,-0.10,50735.94
03/29/2025,BOT +3 COVERED CALL GOOGL 100 04/15/2025 500 CALL @3.15,3,-945.00,-1.95,-0.10,49788.89
03/30/2025,BOT +8 VERTICAL SPY 100 05/01/2025 150/145 PUT @4.84,8,-6905.51,-10.40,-0.10,42872.88
04/01/2025,BOT +1 SHORT PUT META 100 05/11/2025 120 PUT @3.11,1,-659.17,-0.65,-0.10,42212.96
04/03/2025,SELL -17 VERTICAL META 100 05/02/2025 200/210 CALL @2.84,-17,4828.00,-22.10,-0.10,47018.76
04/04/2025,BOT +7 VERTICAL GOOGL 100 05/05/2025 200/210 CALL @1.41,7,-503.95,-9.10,-0.10,46505.61
04/06/2025,SELL -3 COVERED CALL TSLA 100 05/16/2025 500 CALL @3.13,-3,327.79,-1.95,-0.10,46831.35
04/08/2025,SELL -13 COVERED CALL AAPL 100 05/13/2025 500 CALL @3.32,-13,4316.00,-8.45,-0.10,51138.80
04/10/2025,BOT +15 IRON CONDOR AAPL 100 04/17/2025 100/105/90/85 CALL/PUT @3.58,15,-782.64,-39.00,-0.10,50317.06
04/11/2025,SELL -18 IRON CONDOR META 100 05/17/2025 100/105/90/85 CALL/PUT @3.97,-18,7146.00,-46.80,-0.10,57416.16
04/12/2025,BOT +4 VERTICAL QQQ 100 05/06/2025 200/210 CALL @4.70,4,-3508.79,-5.20,-0.10,53902.07
04/14/2025,BOT +3 COVERED CALL QQQ 100 05/29/2025 500 CALL @1.15,3,-372.09,-1.95,-0.10,53527.93
04/16/2025,SELL -9 COVERED CALL TSLA 100 05/27/2025 500 CALL @3.23,-9,2907.00,-5.85,-0.10,56428.98
04/18/2025,BOT +12 IRON CONDOR GOOGL 100 06/02/2025 100/105/90/85 CALL/PUT @0.53,12,-997.39,-31.20,-0.10,55400.29
04/19/2025,SELL -14 SHORT PUT NVDA 100 04/26/2025 120 PUT @1.65,-14,2310.00,-9.10,-0.10,57701.09
04/19/2025,BOT +4 IRON CONDOR NVDA 100 05/10/2025 100/105/90/85 CALL/PUT @4.60,4,-1840.00,-10.40,-0.10,55850.59
04/19/2025,SELL -13 VERTICAL NVDA 100 05/15/2025 150/145 PUT @2.07,-13,5810.50,-16.90,-0.10,61644.09
04/20/2025,SELL -20 VERTICAL NVDA 100 05/22/2025 150/145 PUT @1.04,-20,2080.00,-26.00,-0.10,63697.99
04/21/2025,BOT +6 COVERED CALL QQQ 100 05/12/2025 500 CALL @1.55,6,-1115.62,-3.90,-0.10,62578.37
04/22/2025,BOT +14 VERTICAL AMZN 100 05/29/2025 150/145 PUT @3.16,14,-1459.62,-18.20,-0.10,61100.45
04/23/2025,SELL -17 VERTICAL SPY 100 05/08/2025 200/210 CALL @2.99,-17,7676.44,-22.10,-0.10,68754.69
04/24/2025,BOT +20 COVERED CALL GOOGL 100 05/08/2025 500 CALL @4.77,20,-12795.19,-13.00,-0.10,55946.40
04/26/2025,BOT +1 SHORT PUT META 100 05/08/2025 120 PUT @0.96,1,-114.11,-0.65,-0.10,55831.54
04/26/2025,SELL -17 VERTICAL TSLA 100 05/05/2025 200/210 CALL @4.12,-17,11882.22,-22.10,-0.10,67691.56
04/26/2025,SELL -17 VERTICAL GOOGL 100 06/10/2025 200/210 CALL @4.65,-17,7905.00,-22.10,-0.10,75574.36
04/27/2025,BOT +13 COVERED CALL AAPL 100 05/18/2025 500 CALL @1.16,13,-669.12,-8.45,-0.10,74896.69
04/28/2025,BOT +10 VERTICAL AMZN 100 06/01/2025 150/145 PUT @1.50,10,-1839.11,-13.00,-0.10,73044.48
04/30/2025,SELL -7 COVERED CALL GOOGL 100 05/07/2025 500 CALL @2.32,-7,1624.00,-4.55,-0.10,74663.83
05/01/2025,BOT +4 SHORT PUT AMZN 100 06/07/2025 120 PUT @4.15,4,-1660.00,-2.60,-0.10,73001.13
05/02/2025,SELL -18 VERTICAL TSLA 100 05/18/2025 150/145 PUT @2.87,-18,5166.00,-23.40,-0.10,78143.63
05/03/2025,SELL -13 VERTICAL TSLA 100 05/19/2025 200/210 CALL @1.18,-13,1534.00,-16.90,-0.10,79660.63
05/03/2025,BOT +12 IRON CONDOR AMZN 100 06/17/2025 100/105/90/85 CALL/PUT @2.92,12,-3504.00,-31.20,-0.10,76125.33
05/04/2025,SELL -17 VERTICAL AMZN 100 05/28/2025 200/210 CALL @1.52,-17,2584.00,-22.10,-0.10,78687.13
05/06/2025,SELL -14 VERTICAL AAPL 100 06/17/2025 200/210 CALL @1.18,-14,1652.00,-18.20,-0.10,80320.83
05/06/2025,SELL -15 VERTICAL GOOGL 100 05/26/2025 200/210 CALL @1.89,-15,2835.00,-19.50,-0.10,83136.23
05/06/2025,SELL -5 VERTICAL AAPL 100 05/14/2025 150/145 PUT @4.77,-5,1792.37,-6.50,-0.10,84922.00
05/08/2025,SELL -20 IRON CONDOR AMZN 100 05/28/2025 100/105/90/85 CALL/PUT @4.45,-20,17483.14,-52.00,-0.10,102353.04
05/09/2025,SELL -4 SHORT PUT META 100 05/22/2025 120 PUT @3.95,-4,1580.00,-2.60,-0.10,103930.34
05/10/2025,SELL -8 COVERED CALL SPY 100 06/22/2025 500 CALL @4.31,-8,3448.00,-5.20,-0.10,107373.04
05/10/2025,SELL -18 VERTICAL GOOGL 100 06/18/2025 150/145 PUT @2.83,-18,1868.79,-23.40,-0.10,109218.33
05/12/2025,BOT +15 VERTICAL MSFT 100 06/25/2025 150/145 PUT @4.77,15,-7155.00,-19.50,-0.10,102043.73
05/14/2025,SELL -7 SHORT PUT AAPL 100 06/28/2025 120 PUT @1.45,-7,1015.00,-4.55,-0.10,103054.08
05/14/2025,BOT +11 VERTICAL AAPL 100 05/28/2025 150/145 PUT @0.93,11,-1975.16,-14.30,-0.10,101064.52
05/15/2025,BOT +13 IRON CONDOR TSLA 100 06/13/2025 100/105/90/85 CALL/PUT @4.55,13,-5212.95,-33.80,-0.10,95817.67
05/16/2025,SELL -3 VERTICAL SPY 100 05/25/2025 150/145 PUT @1.21,-3,363.00,-3.90,-0.10,96176.67
05/18/2025,BOT +6 COVERED CALL GOOGL 100 06/12/2025 500 CALL @1.39,6,-1890.02,-3.90,-0.10,94282.65
05/19/2025,BOT +18 VERTICAL AMZN 100 07/03/2025 200/210 CALL @1.74,18,-6686.83,-23.40,-0.10,87572.32
05/21/2025,BOT +15 COVERED CALL AMZN 100 06/30/2025 500 CALL @2.28,15,-3420.00,-9.75,-0.10,84142.47
05/21/2025,SELL -20 SHORT PUT AMZN 100 06/22/2025 120 PUT @1.86,-20,1267.86,-13.00,-0.10,85397.23
05/23/2025,BOT +6 VERTICAL NVDA 100 06/11/2025 200/210 CALL @4.81,6,-2609.57,-7.80,-0.10,82779.76
05/25/2025,BOT +11 VERTICAL NVDA 100 06/25/2025 200/210 CALL @2.41,11,-5592.55,-14.30,-0.10,77172.81
05/25/2025,SELL -8 IRON CONDOR MSFT 100 07/03/2025 100/105/90/85 CALL/PUT @1.63,-8,3126.28,-20.80,-0.10,80278.19
05/27/2025,BOT +8 SHORT PUT META 100 07/05/2025 120 PUT @3.95,8,-2608.05,-5.20,-0.10,77664.84
05/28/2025,SELL -15 COVERED CALL AAPL 100 07/02/2025 500 CALL @2.77,-15,4155.00,-9.75,-0.10,81809.99
05/30/2025,SELL -16 SHORT PUT QQQ 100 06/28/2025 120 PUT @1.02,-16,1270.44,-10.40,-0.10,83069.93
05/31/2025,BOT +14 VERTICAL AAPL 100 07/07/2025 150/145 PUT @0.98,14,-2451.69,-18.20,-0.10,80599.94
05/31/2025,SELL -20 COVERED CALL NVDA 100 07/11/2025 500 CALL @4.80,-20,9600.00,-13.00,-0.10,90186.84
06/02/2025,BOT +12 IRON CONDOR GOOGL 100 07/06/2025 100/105/90/85 CALL/PUT @3.60,12,-7131.84,-31.20,-0.10,83023.70
06/02/2025,SELL -8 SHORT PUT SPY 100 06/25/2025 120 PUT @3.85,-8,3080.00,-5.20,-0.10,86098.40
06/02/2025,SELL -2 IRON CONDOR NVDA 100 06/28/2025 100/105/90/85 CALL/PUT @3.98,-2,796.00,-5.20,-0.10,86889.10
06/02/2025,BOT +11 IRON CONDOR AMZN 100 06/22/2025 100/105/90/85 CALL/PUT @4.54,11,-4994.00,-28.60,-0.10,81866.40
06/03/2025,BOT +7 COVERED CALL GOOGL 100 06/14/2025 500 CALL @4.08,7,-2856.00,-4.55,-0.10,79005.75
06/03/2025,SELL -14 COVERED CALL SPY 100 06/28/2025 500 CALL @4.20,-14,2235.50,-9.10,-0.10,81232.05
06/04/2025,BOT +2 VERTICAL QQQ 100 07/19/2025 200/210 CALL @3.69,2,-738.00,-2.60,-0.10,80491.35
06/06/2025,SELL -14 VERTICAL GOOGL 100 06/24/2025 200/210 CALL @2.62,-14,3668.00,-18.20,-0.10,84141.05
06/07/2025,BOT +8 VERTICAL META 100 06/18/2025 150/145 PUT @3.61,8,-2888.00,-10.40,-0.10,81242.55
06/09/2025,SELL -12 IRON CONDOR MSFT 100 07/23/2025 100/105/90/85 CALL/PUT @3.43,-12,4116.00,-31.20,-0.10,85327.25
06/09/2025,SELL -13 VERTICAL GOOGL 100 07/05/2025 150/145 PUT @3.30,-13,4290.00,-16.90,-0.10,89600.25
06/09/2025,BOT +6 VERTICAL QQQ 100 07/12/2025 150/145 PUT @3.07,6,-4354.01,-7.80,-0.10,85238.34
06/11/2025,SELL -9 SHORT PUT AAPL 100 07/06/2025 120 PUT @2.14,-9,572.12,-5.85,-0.10,85804.51
06/13/2025,SELL -13 SHORT PUT SPY 100 06/29/2025 120 PUT @2.86,-13,2265.78,-8.45,-0.10,88061.74
06/14/2025,SELL -2 IRON CONDOR MSFT 100 07/28/2025 100/105/90/85 CALL/PUT @4.40,-2,880.00,-5.20,-0.10,88936.44
06/16/2025,BOT +11 IRON CONDOR QQQ 100 07/26/2025 100/105/90/85 CALL/PUT @2.34,11,-2574.00,-28.60,-0.10,86333.74
06/17/2025,SELL -15 VERTICAL GOOGL 100 06/30/2025 200/210 CALL @4.58,-15,6870.00,-19.50,-0.10,93184.14
06/17/2025,BOT +10 VERTICAL SPY 100 07/07/2025 150/145 PUT @1.08,10,-617.86,-13.00,-0.10,92553.18
06/18/2025,SELL -9 COVERED CALL QQQ 100 07/27/2025 500 CALL @3.03,-9,2727.00,-5.85,-0.10,95274.23
06/18/2025,SELL -3 IRON CONDOR MSFT 100 07/19/2025 100/105/90/85 CALL/PUT @2.75,-3,825.00,-7.80,-0.10,96091.33
06/19/2025,BOT +16 COVERED CALL MSFT 100 08/02/2025 500 CALL @1.26,16,-3878.63,-10.40,-0.10,92202.20
06/21/2025,BOT +10 COVERED CALL GOOGL 100 07/09/2025 500 CALL @3.49,10,-8116.58,-6.50,-0.10,84079.02
06/21/2025,SELL -19 SHORT PUT NVDA 100 08/01/2025 120 PUT @0.50,-19,950.00,-12.35,-0.10,85016.57
06/22/2025,BOT +3 VERTICAL MSFT 100 07/24/2025 150/145 PUT @2.27,3,-975.36,-3.90,-0.10,84037.21
06/23/2025,BOT +11 COVERED CALL SPY 100 07/01/2025 500 CALL @1.54,11,-1694.00,-7.15,-0.10,82335.96
06/24/2025,BOT +20 VERTICAL TSLA 100 08/05/2025 150/145 PUT @2.92,20,-12626.07,-26.00,-0.10,69683.79
06/24/2025,BOT +3 SHORT PUT NVDA 100 07/16/2025 120 PUT @3.63,3,-1089.00,-1.95,-0.10,68592.74
06/25/2025,SELL -10 VERTICAL AMZN 100 07/16/2025 200/210 CALL @4.41,-10,4410.00,-13.00,-0.10,72989.64
06/27/2025,SELL -17 VERTICAL QQQ 100 07/10/2025 200/210 CALL @2.37,-17,3203.58,-22.10,-0.10,76171.02
06/28/2025,SELL -11 IRON CONDOR AMZN 100 07/30/2025 100/105/90/85 CALL/PUT @2.66,-11,2926.00,-28.60,-0.10,79068.32
06/30/2025,BOT +11 COVERED CALL MSFT 100 08/10/2025 500 CALL @1.30,11,-2177.54,-7.15,-0.10,76883.53
07/02/2025,BOT +17 VERTICAL AMZN 100 08/12/2025 200/210 CALL @4.03,17,-13781.75,-22.10,-0.10,63079.58
07/04/2025,SELL -17 IRON CONDOR GOOGL 100 07/12/2025 100/105/90/85 CALL/PUT @3.75,-17,12323.44,-44.20,-0.10,75358.72
07/04/2025,BOT +12 IRON CONDOR GOOGL 100 08/17/2025 100/105/90/85 CALL/PUT @4.56,12,-5472.00,-31.20,-0.10,69855.42
07/04/2025,SELL -7 IRON CONDOR QQQ 100 07/11/2025 100/105/90/85 CALL/PUT @1.27,-7,889.00,-18.20,-0.10,70726.12
07/06/2025,SELL -7 VERTICAL AMZN 100 08/17/2025 150/145 PUT @4.13,-7,2891.00,-9.10,-0.10,73607.92
07/06/2025,BOT +1 VERTICAL QQQ 100 08/12/2025 200/210 CALL @3.07,1,-298.55,-1.30,-0.10,73307.97
07/07/2025,BOT +16 IRON CONDOR NVDA 100 08/18/2025 100/105/90/85 CALL/PUT @4.91,16,-3773.74,-41.60,-0.10,69492.53
07/08/2025,BOT +7 SHORT PUT GOOGL 100 08/11/2025 120 PUT @4.78,7,-1556.64,-4.55,-0.10,67931.24
07/10/2025,BOT +11 VERTICAL TSLA 100 07/21/2025 150/145 PUT @3.48,11,-3828.00,-14.30,-0.10,64088.84
07/12/2025,BOT +15 IRON CONDOR AAPL 100 07/25/2025 100/105/90/85 CALL/PUT @3.39,15,-3319.27,-39.00,-0.10,60730.47
07/13/2025,BOT +5 COVERED CALL AAPL 100 08/04/2025 500 CALL @4.42,5,-2973.80,-3.25,-0.10,57753.32
07/14/2025,BOT +1 SHORT PUT SPY 100 08/11/2025 120 PUT @0.82,1,-181.35,-0.65,-0.10,57571.22
07/15/2025,SELL -2 SHORT PUT TSLA 100 08/19/2025 120 PUT @4.22,-2,844.00,-1.30,-0.10,58413.82
07/15/2025,BOT +10 COVERED CALL MSFT 100 08/08/2025 500 CALL @1.63,10,-1630.00,-6.50,-0.10,56777.22
07/15/2025,BOT +12 VERTICAL SPY 100 08/14/2025 200/210 CALL @4.27,12,-5382.21,-15.60,-0.10,51379.31
07/17/2025,SELL -6 VERTICAL AMZN 100 08/13/2025 150/145 PUT @3.73,-6,1474.25,-7.80,-0.10,52845.66
07/18/2025,SELL -7 SHORT PUT TSLA 100 08/17/2025 120 PUT @1.58,-7,1031.52,-4.55,-0.10,53872.53
07/18/2025,SELL -13 SHORT PUT AAPL 100 08/06/2025 120 PUT @2.63,-13,1249.62,-8.45,-0.10,55113.60
07/19/2025,BOT +19 IRON CONDOR NVDA 100 07/30/2025 100/105/90/85 CALL/PUT @3.37,19,-10216.01,-49.40,-0.10,44848.09
07/20/2025,BOT +7 COVERED CALL NVDA 100 08/07/2025 500 CALL @3.53,7,-5510.83,-4.55,-0.10,39332.61
07/20/2025,BOT +10 VERTICAL NVDA 100 08/04/2025 150/145 PUT @4.88,10,-7372.16,-13.00,-0.10,31947.35
07/21/2025,BOT +19 IRON CONDOR SPY 100 08/31/2025 100/105/90/85 CALL/PUT @4.16,19,-7904.00,-49.40,-0.10,23993.85
07/22/2025,SELL -19 IRON CONDOR NVDA 100 08/12/2025 100/105/90/85 CALL/PUT @2.69,-19,5111.00,-49.40,-0.10,29055.35
07/23/2025,SELL -1 COVERED CALL AMZN 100 08/04/2025 500 CALL @2.68,-1,268.00,-0.65,-0.10,29322.60
07/25/2025,BOT +11 COVERED CALL NVDA 100 08/25/2025 500 CALL @3.54,11,-3894.00,-7.15,-0.10,25421.35
07/25/2025,BOT +7 IRON CONDOR AMZN 100 08/23/2025 100/105/90/85 CALL/PUT @2.18,7,-1082.30,-18.20,-0.10,24320.75
07/26/2025,SELL -2 VERTICAL TSLA 100 08/27/2025 200/210 CALL @3.08,-2,616.00,-2.60,-0.10,24934.05
07/27/2025,SELL -12 VERTICAL TSLA 100 08/21/2025 150/145 PUT @0.66,-12,792.00,-15.60,-0.10,25710.35
07/29/2025,BOT +4 IRON CONDOR GOOGL 100 08/26/2025 100/105/90/85 CALL/PUT @0.83,4,-332.00,-10.40,-0.10,25367.85
